chunk_14_gold,sentence,chunk_15,chunk_14,chunk_16,chunk_11,chunk_10,chunk_13,chunk_12,_created_at,answer_chunk_05_gold,orig__golden,answer_chunk_15_gold,_country,_tainted,frame,_started_at,_trust,chunk_02_gold,answer_chunk_06_gold,chunk_06_gold,chunk_05_gold,answer_chunk_11_gold,chunk_03_gold,answer_chunk_07_gold,chunk_13_gold,answer_chunk_01_gold,_city,chunk_15_gold,answer_chunk_16,answer_chunk_15,answer_chunk_14,answer_chunk_13,answer_chunk_12,answer_chunk_11,answer_chunk_10,answer_chunk_02_gold,chunk_12_gold,_unit_id,answer_chunk_08_gold,answer_chunk_08,answer_chunk_09,answer_chunk_04,answer_chunk_05,answer_chunk_06,answer_chunk_07,answer_chunk_00,answer_chunk_01,answer_chunk_02,answer_chunk_03,_region,lu,_worker_id,fe_06,fe_05,fe_04,fe_03,fe_02,fe_01,fe_00,_channel,chunk_09_gold,answer_chunk_16_gold,answer_chunk_14_gold,chunk_04_gold,answer_chunk_13_gold,answer_chunk_12_gold,answer_chunk_10_gold,_missed,answer_chunk_04_gold,chunk_01_gold,chunk_00_gold,id,_golden,chunk_07_gold,chunk_08,chunk_09,chunk_08_gold,chunk_02,chunk_03,chunk_00,chunk_01,chunk_06,chunk_07,chunk_04,chunk_05,answer_chunk_00_gold,answer_chunk_03_gold,chunk_10_gold,chunk_16_gold,_ip,chunk_11_gold,_id,answer_chunk_09_gold
,He came to attention in the 1970s with *installations in which mirrors and projections create an eerie disruption of the sense of space.,,,,,,,,5/20/2016 14:10:05,,,,IRL,false,Creating,5/20/2016 14:08:48,0.5536,,,,,,,,,,,,,,,,,,,,,954124599,,,,None,None,,,Created,Material used,Material used,Created,,create,9234773,,,Creator,Co-creator,Cause,Created,Material used,clixsense,,,,,,,,,,,,449,false,,,,,projections,disruption,installations,mirrors,,,sense,space,,,,,213.233.147.95,,1993963472,
,He came to attention in the 1970s with *installations in which mirrors and projections create an eerie disruption of the sense of space.,,,,,,,,5/20/2016 17:57:27,,,,GBR,false,Creating,5/20/2016 17:53:32,0.625,,,,,,,,,,York,,,,,,,,,,,954124599,,,,Created,Created,,,Created,Material used,Material used,Created,Q5,create,37336417,,,Creator,Co-creator,Cause,Created,Material used,getpaid,,,,,,,,,,,,449,false,,,,,projections,disruption,installations,mirrors,,,sense,space,,,,,81.102.132.50,,1994215521,
,Ayres has focused her long career almost entirely on creating abstract paintings in a range of styles.,,,,,,,,5/17/2016 10:19:21,,,,CAN,false,Creating,5/17/2016 10:16:28,0.5385,,,,,,,,,,Windsor,,,,,,,,,,,954124602,,,,,,,,Creator,Created,None,,ON,create,4316379,,,Creator,Co-creator,Cause,Created,Material used,prodege,,,,,,,,,,,,297,false,,,,,styles,,Ayres,abstract paintings,,,,,,,,,198.91.218.68,,1989432507,
,Ayres has focused her long career almost entirely on creating abstract paintings in a range of styles.,,,,,,,,5/17/2016 11:09:32,,,,GBR,false,Creating,5/17/2016 11:07:48,0.4,,,,,,,,,,,,,,,,,,,,,954124602,,,,,,,,Creator,Created,None,,,create,18960682,,,Creator,Co-creator,Cause,Created,Material used,instagc,,,,,,,,,,,,297,false,,,,,styles,,Ayres,abstract paintings,,,,,,,,,79.75.168.118,,1989486850,
,Ayres has focused her long career almost entirely on creating abstract paintings in a range of styles.,,,,,,,,5/17/2016 13:48:21,,,,GBR,false,Creating,5/17/2016 13:44:55,0.5,,,,,,,,,,Sheffield,,,,,,,,,,,954124602,,,,,,,,Creator,Created,Material used,,L9,create,34942809,,,Creator,Co-creator,Cause,Created,Material used,prodege,,,,,,,,,,,,297,false,,,,,styles,,Ayres,abstract paintings,,,,,,,,,146.199.96.73,,1989630870,
,"It contrasts with the darker tones of Distillation which Ayres created with the canvas lying on the floor, inspired by Jackson Pollock.",,,,,,,,5/19/2016 12:22:25,,,,CAN,false,Creating,5/19/2016 12:21:11,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124603,,,,None,,,,None,None,Creator,Material used,NS,create,37336603,,,Creator,Co-creator,Cause,Created,Material used,prizerebel,,,,,,,,,,,,299,false,,,,,Ayres,canvas,tones,Distillation,,,Jackson Pollock,,,,,,142.177.156.75,,1992446301,
,"It contrasts with the darker tones of Distillation which Ayres created with the canvas lying on the floor, inspired by Jackson Pollock.",,,,,,,,5/19/2016 17:20:57,,,,CAN,false,Creating,5/19/2016 17:17:40,0.5625,,,,,,,,,,Hamilton,,,,,,,,,,,954124603,,,,Cause,,,,None,None,Creator,Material used,ON,create,32573092,,,Creator,Co-creator,Cause,Created,Material used,prodege,,,,,,,,,,,,299,false,,,,,Ayres,canvas,tones,Distillation,,,Jackson Pollock,,,,,,207.188.90.138,,1992746468,
,"It contrasts with the darker tones of Distillation which Ayres created with the canvas lying on the floor, inspired by Jackson Pollock.",,,,,,,,5/19/2016 17:54:12,,,,USA,false,Creating,5/19/2016 17:51:07,0.5,,,,,,,,,,Topeka,,,,,,,,,,,954124603,,,,None,,,,Material used,None,Creator,Material used,KS,create,31157999,,,Creator,Co-creator,Cause,Created,Material used,instagc,,,,,,,,,,,,299,false,,,,,Ayres,canvas,tones,Distillation,,,Jackson Pollock,,,,,,24.255.161.116,,1992772211,
,"French painter, born at Couterne, Orne.",,,,,,,,5/20/2016 01:42:52,,,,USA,false,Birth,5/20/2016 01:40:17,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124607,,,,,,,,None,Occupation,None,None,VA,bear,36340274,,,,Mother,Father,Child,Occupation,neodev,,,,,,,,,,,,435,false,,,,,Couterne,Orne,French,painter,,,,,,,,,69.255.41.140,,1993204244,
,"French painter, born at Couterne, Orne.",,,,,,,,5/20/2016 16:34:08,,,,IRL,false,Birth,5/20/2016 16:32:47,0.5536,,,,,,,,,,,,,,,,,,,,,954124607,,,,,,,,None,Occupation,None,None,,bear,9234773,,,,Mother,Father,Child,Occupation,clixsense,,,,,,,,,,,,435,false,,,,,Couterne,Orne,French,painter,,,,,,,,,213.233.147.95,,1994156688,
,"French painter, born at Couterne, Orne.",,,,,,,,5/20/2016 22:40:46,,,,USA,false,Birth,5/20/2016 22:38:33,0.4375,,,,,,,,,,Brookline,,,,,,,,,,,954124607,,,,,,,,None,Occupation,None,None,MA,bear,20929875,,,,Mother,Father,Child,Occupation,neodev,,,,,,,,,,,,435,false,,,,,Couterne,Orne,French,painter,,,,,,,,,71.174.175.184,,1994418661,
,The other shows a ‘faked’ restaging of the event with the same police playing the same role.,,,,,,,,5/20/2016 01:45:40,,,,USA,false,Players and roles,5/20/2016 01:42:53,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124610,,,,,,,,None,Player,,,VA,play,36340274,,,,Co-player,Audience,Player,Performance,neodev,,,,,,,,,,,,321,false,,,,,,,event,police,,,,,,,,,69.255.41.140,,1993207573,
,The other shows a ‘faked’ restaging of the event with the same police playing the same role.,,,,,,,,5/20/2016 16:36:55,,,,IRL,false,Players and roles,5/20/2016 16:35:17,0.5536,,,,,,,,,,,,,,,,,,,,,954124610,,,,,,,,Performance,Player,,,,play,9234773,,,,Co-player,Audience,Player,Performance,clixsense,,,,,,,,,,,,321,false,,,,,,,event,police,,,,,,,,,213.233.147.95,,1994159233,
,The other shows a ‘faked’ restaging of the event with the same police playing the same role.,,,,,,,,5/20/2016 23:29:21,,,,USA,false,Players and roles,5/20/2016 23:27:23,0.4375,,,,,,,,,,Brookline,,,,,,,,,,,954124610,,,,,,,,Performance,Player,,,MA,play,20929875,,,,Co-player,Audience,Player,Performance,neodev,,,,,,,,,,,,321,false,,,,,,,event,police,,,,,,,,,71.174.175.184,,1994444271,
,"In 1913–14 he developed a personal version of Synthetic Cubism, in which papier collé played an important part.",,,,,,,,5/17/2016 10:19:21,,,,CAN,false,Players and roles,5/17/2016 10:16:28,0.5385,,,,,,,,,,Windsor,,,,,,,,,,,954124621,,,,,,,,None,None,None,,ON,play,4316379,,,,Co-player,Audience,Player,Performance,prodege,,,,,,,,,,,,503,false,,,,,papier collé,,version,Synthetic Cubism,,,,,,,,,198.91.218.68,,1989432508,
,"In 1913–14 he developed a personal version of Synthetic Cubism, in which papier collé played an important part.",,,,,,,,5/17/2016 11:09:32,,,,GBR,false,Players and roles,5/17/2016 11:07:48,0.4,,,,,,,,,,,,,,,,,,,,,954124621,,,,,,,,None,None,None,,,play,18960682,,,,Co-player,Audience,Player,Performance,instagc,,,,,,,,,,,,503,false,,,,,papier collé,,version,Synthetic Cubism,,,,,,,,,79.75.168.118,,1989486848,
,"In 1913–14 he developed a personal version of Synthetic Cubism, in which papier collé played an important part.",,,,,,,,5/17/2016 13:48:21,,,,GBR,false,Players and roles,5/17/2016 13:44:55,0.5,,,,,,,,,,Sheffield,,,,,,,,,,,954124621,,,,,,,,None,Performance,Player,,L9,play,34942809,,,,Co-player,Audience,Player,Performance,prodege,,,,,,,,,,,,503,false,,,,,papier collé,,version,Synthetic Cubism,,,,,,,,,146.199.96.73,,1989630873,
,Hogarth took inspiration from life around him and in 1731 created the first of his,,,,,,,,5/19/2016 12:32:16,,,,CAN,false,Creating,5/19/2016 12:31:19,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124622,,,,,,,,Creator,None,None,None,NS,create,37336603,,,Creator,Co-creator,Cause,Created,Material used,prizerebel,,,,,,,,,,,,429,false,,,,,life,first,Hogarth,inspiration,,,,,,,,,142.177.156.75,,1992453943,
,Hogarth took inspiration from life around him and in 1731 created the first of his,,,,,,,,5/19/2016 20:56:56,,,,USA,false,Creating,5/19/2016 20:52:05,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124622,,,,,,,,Creator,None,Cause,None,VA,create,36340274,,,Creator,Co-creator,Cause,Created,Material used,neodev,,,,,,,,,,,,429,false,,,,,life,first,Hogarth,inspiration,,,,,,,,,69.255.41.140,,1992964252,
,Hogarth took inspiration from life around him and in 1731 created the first of his,,,,,,,,5/19/2016 22:46:45,,,,CAN,false,Creating,5/19/2016 22:45:01,0.5385,,,,,,,,,,Windsor,,,,,,,,,,,954124622,,,,,,,,Creator,None,Cause,None,ON,create,4316379,,,Creator,Co-creator,Cause,Created,Material used,prodege,,,,,,,,,,,,429,false,,,,,life,first,Hogarth,inspiration,,,,,,,,,198.91.218.68,,1993058503,
,There are stories of him forging notes from his father to get out of school and go drawing in the countryside.,,,,,,,,5/18/2016 20:23:59,,,,GBR,false,Motion,5/18/2016 20:16:51,0.625,,,,,,,,,,York,,,,,,,,,,,954124637,,,,,,,,None,None,None,Destination,Q5,go,37336417,,,Purpose,Provenance,Destination,Cause,Path,getpaid,,,,,,,,,,,,542,false,,,,,school,countryside,stories,forging,,,,,,,,,81.102.132.50,,1991490509,
,There are stories of him forging notes from his father to get out of school and go drawing in the countryside.,,,,,,,,5/19/2016 11:49:57,,,,CAN,false,Motion,5/19/2016 11:48:05,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124637,,,,,,,,Provenance,None,None,Destination,NS,go,37336603,,,Purpose,Provenance,Destination,Cause,Path,prizerebel,,,,,,,,,,,,542,false,,,,,school,countryside,stories,forging,,,,,,,,,142.177.156.75,,1992421682,
,There are stories of him forging notes from his father to get out of school and go drawing in the countryside.,,,,,,,,5/19/2016 13:11:29,,,,IRL,false,Motion,5/19/2016 13:08:18,0.5536,,,,,,,,,,,,,,,,,,,,,954124637,,,,,,,,None,Cause,Destination,Destination,,go,9234773,,,Purpose,Provenance,Destination,Cause,Path,clixsense,,,,,,,,,,,,542,false,,,,,school,countryside,stories,forging,,,,,,,,,213.233.147.88,,1992483200,
,"Drawing on influences ranging from primitive art to Japanese prints, he created colourful, mysterious images which both depicted external reality and expressed inner, symbolic meaning.",,,,,,,,5/20/2016 01:48:35,,,,USA,false,Creating,5/20/2016 01:45:54,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124639,,,,Created,None,,,None,None,None,Created,VA,create,36340274,,,Creator,Co-creator,Cause,Created,Material used,neodev,,,,,,,,,,,,507,false,,,,,Japanese prints,colourful,Drawing,primitive art,,,images,reality,,,,,69.255.41.140,,1993211018,
,"Drawing on influences ranging from primitive art to Japanese prints, he created colourful, mysterious images which both depicted external reality and expressed inner, symbolic meaning.",,,,,,,,5/20/2016 16:38:26,,,,IRL,false,Creating,5/20/2016 16:36:57,0.5536,,,,,,,,,,,,,,,,,,,,,954124639,,,,Created,None,,,None,Created,Created,Created,,create,9234773,,,Creator,Co-creator,Cause,Created,Material used,clixsense,,,,,,,,,,,,507,false,,,,,Japanese prints,colourful,Drawing,primitive art,,,images,reality,,,,,213.233.147.95,,1994160448,
,"Drawing on influences ranging from primitive art to Japanese prints, he created colourful, mysterious images which both depicted external reality and expressed inner, symbolic meaning.",,,,,,,,5/21/2016 01:26:07,,,,USA,false,Creating,5/21/2016 01:23:32,0.7143,,,,,,,,,,Brooklyn,,,,,,,,,,,954124639,,,,Created,None,,,None,Cause,None,None,NY,create,36781511,,,Creator,Co-creator,Cause,Created,Material used,prodege,,,,,,,,,,,,507,false,,,,,Japanese prints,colourful,Drawing,primitive art,,,images,reality,,,,,74.71.220.239,,1994506684,
,"British painter, teacher, administrator, and writer on art, born in London.",,,,,,,,5/19/2016 23:19:41,,,,USA,false,Birth,5/19/2016 23:11:05,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124641,,,,Occupation,None,None,,None,Occupation,Occupation,Occupation,VA,bear,36340274,,,,Mother,Father,Child,Occupation,neodev,,,,,,,,,,,,517,false,,,,,teacher,administrator,British,painter,London,,writer,art,,,,,69.255.41.140,,1993077892,
,"British painter, teacher, administrator, and writer on art, born in London.",,,,,,,,5/20/2016 16:01:54,,,,IRL,false,Birth,5/20/2016 16:00:42,0.5536,,,,,,,,,,,,,,,,,,,,,954124641,,,,Occupation,None,None,,None,Occupation,Occupation,Occupation,,bear,9234773,,,,Mother,Father,Child,Occupation,clixsense,,,,,,,,,,,,517,false,,,,,teacher,administrator,British,painter,London,,writer,art,,,,,213.233.147.95,,1994110256,
,"British painter, teacher, administrator, and writer on art, born in London.",,,,,,,,5/20/2016 20:07:31,,,,GBR,false,Birth,5/20/2016 19:59:43,0.625,,,,,,,,,,York,,,,,,,,,,,954124641,,,,Occupation,None,None,,None,Occupation,Occupation,Occupation,Q5,bear,37336417,,,,Mother,Father,Child,Occupation,getpaid,,,,,,,,,,,,517,false,,,,,teacher,administrator,British,painter,London,,writer,art,,,,,81.102.132.50,,1994287326,
,Polish-born Israeli painter.,,,,,,,,5/19/2016 10:59:27,,,,GBR,false,Birth,5/19/2016 10:54:11,0.625,,,,,,,,,,York,,,,,,,,,,,954124649,,,,,,,,None,None,Occupation,,Q5,bear,37336417,,,,Mother,Father,Child,Occupation,getpaid,,,,,,,,,,,,308,false,,,,,painter,,Polish,Israeli,,,,,,,,,81.102.132.50,,1992379694,
,Polish-born Israeli painter.,,,,,,,,5/19/2016 12:17:07,,,,CAN,false,Birth,5/19/2016 12:15:34,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124649,,,,,,,,None,None,Occupation,,NS,bear,37336603,,,,Mother,Father,Child,Occupation,prizerebel,,,,,,,,,,,,308,false,,,,,painter,,Polish,Israeli,,,,,,,,,142.177.156.75,,1992442157,
,Polish-born Israeli painter.,,,,,,,,5/19/2016 16:58:30,,,,SWE,false,Birth,5/19/2016 16:50:23,0.5714,,,,,,,,,,Linköping,,,,,,,,,,,954124649,,,,,,,,None,None,Occupation,,16,bear,30009233,,,,Mother,Father,Child,Occupation,tremorgames,,,,,,,,,,,,308,false,,,,,painter,,Polish,Israeli,,,,,,,,,85.229.216.205,,1992731503,
,"French painter (of landscapes, portraits, figure compositions, and still-lifes), graphic artist, and designer, born in Le Havre.",,,,,,,,5/19/2016 23:11:04,,,,USA,false,Birth,5/19/2016 23:05:11,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124652,,Occupation,None,None,None,None,Occupation,None,Occupation,None,None,VA,bear,36340274,,,,Mother,Father,Child,Occupation,neodev,,,,,,,,,,,,664,false,,designer,Le Havre,,landscapes,portraits,French,painter,still-lifes,graphic artist,figure,compositions,,,,,69.255.41.140,,1993072798,
,"French painter (of landscapes, portraits, figure compositions, and still-lifes), graphic artist, and designer, born in Le Havre.",,,,,,,,5/20/2016 16:00:40,,,,IRL,false,Birth,5/20/2016 15:58:20,0.5536,,,,,,,,,,,,,,,,,,,,,954124652,,Occupation,None,None,None,None,Occupation,None,Occupation,None,None,,bear,9234773,,,,Mother,Father,Child,Occupation,clixsense,,,,,,,,,,,,664,false,,designer,Le Havre,,landscapes,portraits,French,painter,still-lifes,graphic artist,figure,compositions,,,,,213.233.147.95,,1994108021,
,"French painter (of landscapes, portraits, figure compositions, and still-lifes), graphic artist, and designer, born in Le Havre.",,,,,,,,5/20/2016 19:59:42,,,,GBR,false,Birth,5/20/2016 19:52:50,0.625,,,,,,,,,,York,,,,,,,,,,,954124652,,Occupation,None,None,None,None,Occupation,None,Occupation,None,None,Q5,bear,37336417,,,,Mother,Father,Child,Occupation,getpaid,,,,,,,,,,,,664,false,,designer,Le Havre,,landscapes,portraits,French,painter,still-lifes,graphic artist,figure,compositions,,,,,81.102.132.50,,1994283094,
,He wrote numerous articles on art and several books.,,,,,,,,5/19/2016 22:41:40,,,,USA,false,Text creation,5/19/2016 22:31:56,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124657,,,,,,,,Main topic,Written work,,,VA,write,36340274,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,neodev,,,,,,,,,,,,600,false,,,,,,,art,books,,,,,,,,,69.255.41.140,,1993055183,
,He wrote numerous articles on art and several books.,,,,,,,,5/20/2016 15:34:41,,,,IRL,false,Text creation,5/20/2016 15:30:30,0.5536,,,,,,,,,,,,,,,,,,,,,954124657,,,,,,,,Main topic,Written work,,,,write,9234773,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,clixsense,,,,,,,,,,,,600,false,,,,,,,art,books,,,,,,,,,213.233.147.95,,1994067782,
,He wrote numerous articles on art and several books.,,,,,,,,5/20/2016 19:03:14,,,,GBR,false,Text creation,5/20/2016 18:56:18,0.625,,,,,,,,,,York,,,,,,,,,,,954124657,,,,,,,,Main topic,Written work,,,Q5,write,37336417,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,getpaid,,,,,,,,,,,,600,false,,,,,,,art,books,,,,,,,,,81.102.132.50,,1994254544,
,"He abandoned naturalistic sculpture in 1925, however, and went through a period of restless experimentation.",,,,,,,,5/19/2016 12:23:45,,,,CAN,false,Motion,5/19/2016 12:22:26,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124660,,,,None,,,,Path,Purpose,None,None,NS,go,37336603,,,Purpose,Provenance,Destination,Cause,Path,prizerebel,,,,,,,,,,,,498,false,,,,,period,restless,naturalistic,sculpture,,,experimentation,,,,,,142.177.156.75,,1992447429,
,"He abandoned naturalistic sculpture in 1925, however, and went through a period of restless experimentation.",,,,,,,,5/19/2016 17:25:20,,,,CAN,false,Motion,5/19/2016 17:20:58,0.5625,,,,,,,,,,Hamilton,,,,,,,,,,,954124660,,,,None,,,,None,None,None,None,ON,go,32573092,,,Purpose,Provenance,Destination,Cause,Path,prodege,,,,,,,,,,,,498,false,,,,,period,restless,naturalistic,sculpture,,,experimentation,,,,,,207.188.90.138,,1992749756,
,"He abandoned naturalistic sculpture in 1925, however, and went through a period of restless experimentation.",,,,,,,,5/19/2016 17:58:10,,,,USA,false,Motion,5/19/2016 17:54:30,0.5,,,,,,,,,,Topeka,,,,,,,,,,,954124660,,,,None,,,,None,None,None,None,KS,go,31157999,,,Purpose,Provenance,Destination,Cause,Path,instagc,,,,,,,,,,,,498,false,,,,,period,restless,naturalistic,sculpture,,,experimentation,,,,,,24.255.161.116,,1992775934,
,He almost invariably uses his own body as a model and has created sculptures that are on show around the world.,,,,,,,,5/17/2016 10:27:38,,,,CAN,false,Creating,5/17/2016 10:25:02,0.5385,,,,,,,,,,Windsor,,,,,,,,,,,954124669,,,,,,,,Material used,None,Created,None,ON,create,4316379,,,Creator,Co-creator,Cause,Created,Material used,prodege,,,,,,,,,,,,570,false,,,,,sculptures,show,body,model,,,,,,,,,198.91.218.68,,1989441147,
